seed,budget_id,client_id,modal_alpha,modal_frequency,median_alpha,percentile_5,percentile_95,instability
0,false_positive_0p001,Danmini_Doorbell,0.00020435325068186532,0.438,0.0003060656568188345,0.00020435325068186532,0.000606319172389986,0.562
0,false_positive_0p001,Ennio_Doorbell,0.0005190713408839703,0.204,0.0006451950121482159,0.000262023564680056,0.0011643757492860373,0.796
0,false_positive_0p001,Ecobee_Thermostat,0.0007774278625536144,0.386,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.614
0,false_positive_0p001,Philips_B120N10_Baby_Monitor,0.0009968249545734852,0.088,0.0009367618628394448,0.0001,0.0012011244339814311,0.912
0,false_positive_0p001,Provision_PT_737E_Security_Camera,0.00032568990749704533,0.214,0.00032568990749704533,0.0001644059762524425,0.0007305844114432468,0.786
0,false_positive_0p001,Provision_PT_838_Security_Camera,0.00010315608468468423,0.068,0.001128751399246268,0.00010315608468468423,0.001974720351693796,0.9319999999999999
0,false_positive_0p001,SimpleHome_XCS7_1002_WHT_Security_Camera,0.0005523530433110137,0.134,0.0006451950121482159,0.00021745592760409819,0.002101335038241075,0.866
0,false_positive_0p001,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.402,0.0007774278625536144,0.0005190713408839703,0.0015400924857617558,0.598
0,false_positive_0p001,Samsung_SNH_1011_N_Webcam,0.003454720383954872,0.106,0.0032465582724578485,0.00019204006772477732,0.004294146458362655,0.894
0,false_positive_0p0025,Danmini_Doorbell,0.00020435325068186532,0.396,0.0003060656568188345,0.00020435325068186532,0.000606319172389986,0.604
0,false_positive_0p0025,Ennio_Doorbell,0.005505992973070277,0.13,0.005679766774033137,0.004162766037009365,0.007059833406580807,0.87
0,false_positive_0p0025,Ecobee_Thermostat,0.0007774278625536144,0.44,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.56
0,false_positive_0p0025,Philips_B120N10_Baby_Monitor,0.001,0.068,0.0009663268605244831,0.0006865634844764341,0.0012409881847264897,0.9319999999999999
