budget,macro recall,worst-client recall,federation fpr
0.0010,0.3614,0.0000,0.0098
0.0025,0.3970,0.0000,0.0118
0.0050,0.4318,0.0007,0.0160
0.0100,0.4602,0.0089,0.0213
0.0200,0.5016,0.0251,0.0311
