dataset_id,seed,budget_id,target_rate,client_id,false_alert_events_per_hour,attacked_stream_events_per_hour,attack_event_recall,attack_event_miss_rate,mean_time_to_detect,median_time_to_detect,percentile_90_time_to_detect,alarm_duty_fraction
gotham,0,false_positive_0p0025,0.0025,02:42:bd:f8:c5:00,0.0,0.03027359470004522,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:c0:ac:38:00,2.161326848630403,2.171426506801573,1.0,0.0,0.0,0.0,0.0,0.00006839736513705524
gotham,0,false_positive_0p0025,0.0025,02:42:c1:b7:72:00,0.0,0.02018679049481543,1.0,0.0,397.3609459400177,397.3609459400177,397.3609459400177,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:c2:7a:05:00,0.0,0.05045999719423911,1.0,0.0,337.84441018104553,337.84441018104553,337.84441018104553,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:c3:13:3c:00,0.0,0.02019978837296154,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:c5:c1:72:00,0.0,0.040400843911856194,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:cc:db:31:00,0.0,0.09057185958285921,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:cd:90:eb:00,0.0,0.040400834754454246,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:da:1c:50:00,0.0,0.08000003003744213,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:de:51:81:00,0.0,0.010090975369746617,1.0,0.0,0.0,0.0,0.0,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:e8:56:10:00,0.0,0.020184620125068418,1.0,0.0,348.7794919013977,348.7794919013977,348.7794919013977,0.0
gotham,0,false_positive_0p0025,0.0025,02:42:e9:4b:52:00,0.0,0.02019964467943793,1.0,0.0,0.0,0.0,0.0,0.0
