seed,budget,policy,macro_recall,worst_client_recall,federation_fpr,budget_usage,fallback_rate
0,false_positive_0p001,fabrid_cvar,0.4222474832157217,0.0,0.002250838639308731,2.250838639308731,0.0
0,false_positive_0p0025,fabrid_cvar,0.466661773187035,0.0,0.0030607278123692596,1.2242911249477038,0.0
0,false_positive_0p005,fabrid_cvar,0.5555076507380053,0.0,0.007167165744415815,1.433433148883163,0.0
0,false_positive_0p010,fabrid_cvar,0.7777452565281588,0.0,0.019889576465584962,1.9889576465584962,0.0
0,false_positive_0p020,fabrid_cvar,0.8888636425391232,0.0,0.03726551960303478,1.863275980151739,0.0
1,false_positive_0p001,fabrid_cvar,0.42226016019283563,0.0,0.002161741376053384,2.161741376053384,0.0
1,false_positive_0p0025,fabrid_cvar,0.46666381229340914,0.0,0.003056882041015021,1.2227528164060084,0.0
1,false_positive_0p005,fabrid_cvar,0.5333069380466381,0.0,0.006977644676549149,1.3955289353098297,0.0
1,false_positive_0p010,fabrid_cvar,0.7555439465693383,0.0,0.017454558113029407,1.7454558113029406,0.0
1,false_positive_0p020,fabrid_cvar,0.8888601985499179,0.0,0.03653136434077771,1.8265682170388853,0.0
2,false_positive_0p001,fabrid_cvar,0.4222607971566806,0.0,0.00228133955122741,2.28133955122741,0.0
2,false_positive_0p0025,fabrid_cvar,0.46666471652152364,0.0,0.0030912287242879383,1.2364914897151753,0.0
2,false_positive_0p005,fabrid_cvar,0.5333173898686883,0.0,0.007272362890901355,1.454472578180271,0.0
2,false_positive_0p010,fabrid_cvar,0.6444347952333396,0.0,0.02005810359537314,2.005810359537314,0.0
2,false_positive_0p020,fabrid_cvar,0.8888604495239831,0.0,0.035946120693848144,1.7973060346924072,0.0
3,false_positive_0p001,fabrid_cvar,0.31114818820970425,0.0,0.0009462380996340749,0.9462380996340749,0.0
3,false_positive_0p0025,fabrid_cvar,0.3777532573861462,0.0,0.0018575754453593932,0.7430301781437573,0.0
3,false_positive_0p005,fabrid_cvar,0.44440520341430073,0.0,0.005943999892312693,1.1887999784625385,0.0
3,false_positive_0p010,fabrid_cvar,0.6666299902185664,0.0,0.018877949516034723,1.8877949516034722,0.0
3,false_positive_0p020,fabrid_cvar,0.7777528568661545,0.0,0.03523954145117884,1.7619770725589419,0.0
4,false_positive_0p001,fabrid_cvar,0.4222617198553311,0.0,0.002294285463608033,2.294285463608033,0.0
4,false_positive_0p0025,fabrid_cvar,0.46666509838092257,0.0,0.0030899660546850434,1.2359864218740173,0.0
4,false_positive_0p005,fabrid_cvar,0.5333181594798574,0.0,0.00734341317682356,1.468682635364712,0.0
4,false_positive_0p010,fabrid_cvar,0.777741187407423,0.0,0.016282922670053518,1.6282922670053517,0.0
4,false_positive_0p020,fabrid_cvar,0.8888604698978375,0.0,0.03638245359344692,1.8191226796723459,0.0
5,false_positive_0p001,fabrid_cvar,0.3111464236855832,0.0,0.0009707144166043676,0.9707144166043675,0.0
5,false_positive_0p0025,fabrid_cvar,0.37775491437768494,0.0,0.0019769291550130546,0.7907716620052219,0.0
5,false_positive_0p005,fabrid_cvar,0.4443940785438953,0.0,0.005887062101580865,1.1774124203161729,0.0
5,false_positive_0p010,fabrid_cvar,0.666628220936395,0.0,0.011248788164634484,1.1248788164634484,0.0
5,false_positive_0p020,fabrid_cvar,0.7777503379508914,0.0,0.035878763166924094,1.7939381583462046,0.0
6,false_positive_0p001,fabrid_cvar,0.3111353774100633,0.0,0.0009430678442383003,0.9430678442383003,0.0
6,false_positive_0p0025,fabrid_cvar,0.3555496421385264,0.0,0.0017955827632493827,0.718233105299753,0.0
6,false_positive_0p005,fabrid_cvar,0.4444076769314654,0.0,0.006036020018050233,1.2072040036100464,0.0
6,false_positive_0p010,fabrid_cvar,0.6666340254045459,0.0,0.015772155661586452,1.577215566158645,0.0
6,false_positive_0p020,fabrid_cvar,0.7777489349335406,0.0,0.037336297251729204,1.8668148625864602,0.0
7,false_positive_0p001,fabrid_cvar,0.3111443109008731,0.0,0.0009462380996340749,0.9462380996340749,0.0
7,false_positive_0p0025,fabrid_cvar,0.35555039993343546,0.0,0.001827170182612194,0.7308680730448776,0.0
7,false_positive_0p005,fabrid_cvar,0.4443964359206329,0.0,0.005833417057690065,1.166683411538013,0.0
7,false_positive_0p010,fabrid_cvar,0.6666273222946171,0.0,0.011675781342718041,1.1675781342718041,0.0
7,false_positive_0p020,fabrid_cvar,0.7777511316334308,0.0,0.034705668585190974,1.7352834292595487,0.0
8,false_positive_0p001,fabrid_cvar,0.42225882614497207,0.0,0.0019722119557932234,1.9722119557932234,0.0
8,false_positive_0p0025,fabrid_cvar,0.4666635473026239,0.0,0.0031799414243922574,1.271976569756903,0.0
8,false_positive_0p005,fabrid_cvar,0.53330773467548,0.0,0.006934832730690529,1.3869665461381058,0.0
8,false_positive_0p010,fabrid_cvar,0.8888510743715639,0.0,0.016303025861270096,1.6303025861270095,0.0
8,false_positive_0p020,fabrid_cvar,0.8888607559358025,0.0,0.03562986943520403,1.7814934717602013,0.0
9,false_positive_0p001,fabrid_cvar,0.42224339022328616,0.0,0.002190979618369168,2.190979618369168,0.0
9,false_positive_0p0025,fabrid_cvar,0.488856886286445,0.0,0.003295357139451934,1.3181428557807735,0.0
9,false_positive_0p005,fabrid_cvar,0.5555074843614034,0.0,0.0070291735745343226,1.4058347149068644,0.0
9,false_positive_0p010,fabrid_cvar,0.7777436476686489,0.0,0.023214819422689964,2.3214819422689965,0.0
9,false_positive_0p020,fabrid_cvar,0.888860745277811,0.0,0.03443666385003577,1.7218331925017885,0.0
0,false_positive_0p001,fabrid_macro,0.4222474832157217,0.0,0.002250838639308731,2.250838639308731,0.0
0,false_positive_0p0025,fabrid_macro,0.466661773187035,0.0,0.0030607278123692596,1.2242911249477038,0.0
0,false_positive_0p005,fabrid_macro,0.5110694411823101,0.0,0.003906178594573712,0.7812357189147424,0.0
0,false_positive_0p010,fabrid_macro,0.6666358291810583,0.0,0.00946269877319561,0.946269877319561,0.0
0,false_positive_0p020,fabrid_macro,0.7777561682419142,0.0,0.02966556301577406,1.483278150788703,0.0
1,false_positive_0p001,fabrid_macro,0.42226016019283563,0.0,0.002161741376053384,2.161741376053384,0.0
1,false_positive_0p0025,fabrid_macro,0.46666381229340914,0.0,0.003056882041015021,1.2227528164060084,0.0
1,false_positive_0p005,fabrid_macro,0.48886984929552074,0.0,0.003906510487082637,0.7813020974165273,0.0
1,false_positive_0p010,fabrid_macro,0.6666316731019758,0.0,0.008380878447931823,0.8380878447931823,0.0
1,false_positive_0p020,fabrid_macro,0.8888610319528948,0.0,0.03289138687212054,1.644569343606027,0.0
2,false_positive_0p001,fabrid_macro,0.4222607971566806,0.0,0.00228133955122741,2.28133955122741,0.0
2,false_positive_0p0025,fabrid_macro,0.46666471652152364,0.0,0.0030912287242879383,1.2364914897151753,0.0
2,false_positive_0p005,fabrid_macro,0.5110744541004605,0.0,0.003908147207930418,0.7816294415860836,0.0
