seed,budget,policy,macro_recall,worst_client_recall,federation_fpr,budget_usage,fallback_rate
0,false_positive_0p001,eq_fpr,0.3497408579143599,0.00012086285934163445,0.012690816659267566,12.690816659267567,0.0
0,false_positive_0p001,greedy,0.03909873727598696,0.0,0.00004190506484709843,0.041905064847098425,0.0
0,false_positive_0p001,fabrid_macro,0.3631497203529208,0.0,0.01000956489531523,10.00956489531523,0.0
0,false_positive_0p001,fabrid_cvar,0.3429605450281086,0.00012086285934163445,0.012501051085448559,12.501051085448559,0.0
0,false_positive_0p001,fabrid_macro_finite_safe,0.10661062135472549,0.0,0.00039189148618332267,0.39189148618332265,0.0
0,false_positive_0p001,fabrid_cvar_finite_safe,0.05890806532065446,0.0,0.00031070477417503406,0.31070477417503406,0.0
0,false_positive_0p001,fabrid_macro_no_rate_minimization,0.3631497203529208,0.0,0.01000956489531523,10.00956489531523,0.0
0,false_positive_0p001,common_rate_macro,0.3497408579143599,0.00012086285934163445,0.012690816659267566,12.690816659267567,0.0
0,false_positive_0p001,pooled_shared,0.006520555365311906,0.0,0.007328743143890769,7.328743143890769,0.0
0,false_positive_0p001,eq_fpr_matched_macro,0.35114837223122525,0.00012086285934163445,0.01275672293454785,12.75672293454785,0.0
0,false_positive_0p001,eq_fpr_matched_cvar,0.35109879148945494,0.00012086285934163445,0.012736083581525016,12.736083581525016,0.0
0,false_positive_0p0025,eq_fpr,0.38596718355470283,0.00016407993873140928,0.014139282328678135,5.655712931471253,0.0
0,false_positive_0p0025,greedy,0.03909873727598696,0.0,0.00004190506484709843,0.01676202593883937,0.0
0,false_positive_0p0025,fabrid_macro,0.38568796223066804,0.0,0.01361842892073082,5.447371568292327,0.0
0,false_positive_0p0025,fabrid_cvar,0.3578278349309839,0.0021476601120566717,0.01402854408761247,5.611417635044988,0.0
0,false_positive_0p0025,fabrid_macro_finite_safe,0.1930525757031721,0.0,0.0016357733049519026,0.654309321980761,0.0
0,false_positive_0p0025,fabrid_cvar_finite_safe,0.09231254056541922,0.0,0.004298551842186343,1.7194207368745371,0.0
0,false_positive_0p0025,fabrid_macro_no_rate_minimization,0.38568796223066804,0.0,0.01361842892073082,5.447371568292327,0.0
